"","time","adi_ecg","adi_finger","adi_fro","ard_fro","ibi","id"
"157556",157.555,0.88125,-0.00675,4.860938,0.0003125,0.907000000000011,"001"
"158489",158.488,0.746875,-0.0025,4.860625,0.00078125,0.932999999999993,"001"
"159412",159.411,0.83125,-0.0004375,4.860625,0.000625,0.923000000000002,"001"
"160266",160.265,0.70625,-0.002625,4.859687,0.00078125,0.853999999999985,"001"
"161110",161.109,0.778125,-0.0043125,4.860938,0.000625,0.844000000000023,"001"
"161990",161.989,0.75625,-0.004125,4.86,0.00046875,0.879999999999995,"001"
"162922",162.921,0.834375,-0.0084375,4.86125,0.0009375,0.931999999999988,"001"
"163881",163.88,0.76875,0.0029375,4.065625,0.000625,0.959000000000003,"001"
"164778",164.777,0.83125,-0.007375,4.860625,0.00078125,0.896999999999991,"001"
"165660",165.659,0.78125,-0.007125,4.858438,0.000625,0.882000000000005,"001"
"166561",166.56,0.809375,-0.006375,4.860625,0.00078125,0.90100000000001,"001"
"167490",167.489,0.765625,0.03375,3.920625,0.00078125,0.929000000000002,"001"
"168427",168.426,0.740625,-0.0006875,4.860313,0.000625,0.936999999999983,"001"
"169342",169.341,0.8,-0.003,4.860313,0.000625,0.91500000000002,"001"
"170192",170.191,0.709375,-0.0029375,4.86,0.00078125,0.849999999999994,"001"
"171021",171.02,0.834375,-0.0005625,4.860625,0.00078125,0.829000000000008,"001"
"171875",171.874,0.784375,-0.0019375,4.860938,0.000625,0.853999999999985,"001"
"172773",172.772,0.8375,-0.0155625,4.860625,0.00078125,0.897999999999996,"001"
"173705",173.704,0.75,-0.006375,4.859063,0.000625,0.932000000000016,"001"
"174599",174.598,0.7625,-0.0011875,4.860625,0.00078125,0.894000000000005,"001"
"175438",175.437,0.765625,-0.0084375,4.860313,0.000625,0.838999999999999,"001"
"176263",176.262,0.740625,-0.0090625,4.526875,0.00078125,0.824999999999989,"001"
"177101",177.1,0.8,-0.0134375,3.888125,0.00078125,0.837999999999994,"001"
"177968",177.967,0.703125,-0.0041875,4.860313,0.000625,0.867000000000019,"001"
"178854",178.853,0.80625,0.0023125,4.107188,0.00078125,0.885999999999996,"001"
"179705",179.704,0.809375,-0.0105625,4.860625,0.000625,0.850999999999999,"001"
"180572",180.571,0.75625,-0.007625,4.860625,0.00078125,0.86699999999999,"001"
"181453",181.452,0.828125,-0.00275,4.86125,0.000625,0.881,"001"
"182358",182.357,0.8375,0.000875,4.86125,0.000625,0.905000000000001,"001"
"183244",183.243,0.75,0.0016875,4.574063,0.000625,0.885999999999996,"001"
"184094",184.093,0.78125,-0.006875,4.860625,0.000625,0.849999999999994,"001"
"184965",184.964,0.765625,-0.0070625,4.86,0.00078125,0.871000000000009,"001"
"185869",185.868,0.753125,-0.0071875,4.860313,0.00078125,0.903999999999996,"001"
"186793",186.792,0.70625,0.00075,3.782188,0.00046875,0.924000000000007,"001"
"187675",187.674,0.7375,-0.004125,4.859687,0.00078125,0.882000000000005,"001"
"188523",188.522,0.6875,-0.0026875,4.86,0.00078125,0.847999999999985,"001"
"189396",189.395,0.796875,-0.00525,4.860313,0.000625,0.873000000000019,"001"
"190291",190.29,0.7375,-0.0039375,4.85875,0.00046875,0.894999999999982,"001"
"191210",191.209,0.790625,-0.0008125,4.86125,0.000625,0.919000000000011,"001"
"192114",192.113,0.69375,-0.003375,4.860313,0.00046875,0.903999999999996,"001"
"192981",192.98,0.7125,-0.0029375,4.859063,0.00109375,0.86699999999999,"001"
"193881",193.88,0.84375,-0.0104375,4.860313,0.00078125,0.900000000000006,"001"
"194808",194.807,0.73125,-0.044875,4.860313,0.00078125,0.926999999999992,"001"
"195741",195.74,0.80625,-0.0120625,4.859375,0.00078125,0.933000000000021,"001"
"196634",196.633,0.6875,-0.0049375,4.86,0.00078125,0.893000000000001,"001"
"197473",197.472,0.7125,-0.0075625,4.859687,0.00078125,0.838999999999999,"001"
"198336",198.335,0.74375,-0.006875,4.859063,0.000625,0.863,"001"
"199240",199.239,0.796875,-0.0071875,4.620312,0.0009375,0.903999999999996,"001"
"200169",200.168,0.775,-0.00275,4.43,0.000625,0.929000000000002,"001"
"201070",201.069,0.7,0.001,4.4,0.000625,0.900999999999982,"001"
"201920",201.919,0.734375,-0.0094375,3.62375,0.00078125,0.850000000000023,"001"
"202780",202.779,0.734375,-0.00875,4.037813,0.00078125,0.859999999999985,"001"
"203689",203.688,0.759375,-0.013,4.079063,0.00046875,0.908999999999992,"001"
"204643",204.642,0.8,-0.005125,4.860625,0.00046875,0.954000000000008,"001"
"205566",205.565,0.725,-0.0108125,4.557812,0.00046875,0.923000000000002,"001"
"206485",206.484,0.725,-0.01025,4.86,0.00046875,0.919000000000011,"001"
"207418",207.417,0.7125,-0.009,4.86,0.00078125,0.932999999999993,"001"
"208346",208.345,0.778125,-0.0081875,4.830625,0.00078125,0.927999999999997,"001"
"209229",209.228,0.803125,-0.0041875,4.860625,0.00046875,0.88300000000001,"001"
"210054",210.053,0.70625,-0.0055,4.86,0.000625,0.824999999999989,"001"
"210890",210.889,0.80625,-0.0013125,4.07875,0.000625,0.836000000000013,"001"
"211737",211.736,0.771875,-0.0038125,4.3825,0.000625,0.84699999999998,"001"
"212612",212.611,0.821875,-0.0003125,4.860625,0.00078125,0.875,"001"
"213476",213.475,0.8125,-0.00575,4.860938,0.00078125,0.864000000000004,"001"
"214359",214.358,0.7375,-0.004625,4.860625,0.000625,0.88300000000001,"001"
"215294",215.293,0.775,-0.0030625,4.340937,0.00078125,0.935000000000002,"001"
"216263",216.262,0.753125,-0.0051875,4.860313,0.00046875,0.968999999999994,"001"
"217215",217.214,0.79375,-0.001625,4.860625,0.00046875,0.951999999999998,"001"
"218110",218.109,0.8125,-0.001875,4.860313,0.000625,0.89500000000001,"001"
"218968",218.967,0.76875,-0.003,4.860313,0.0009375,0.858000000000004,"001"
"219844",219.843,0.75,-0.00375,4.860313,0.00078125,0.875999999999976,"001"
"220745",220.744,0.846875,0.009125,4.860313,0.00078125,0.90100000000001,"001"
"221668",221.667,0.8,0.0090625,4.859375,0.00046875,0.923000000000002,"001"
"222580",222.579,0.81875,-0.00375,4.860625,0.00078125,0.912000000000006,"001"
"223445",223.444,0.715625,-0.004375,4.85875,0.000625,0.864999999999981,"001"
"224273",224.272,0.76875,-0.0058125,4.860625,0.000625,0.828000000000003,"001"
"225117",225.116,0.740625,-0.0083125,4.845313,0.00078125,0.844000000000023,"001"
"225979",225.978,0.815625,-0.00275,4.860313,0.000625,0.861999999999995,"001"
"226880",226.879,0.75,0.0001875,4.175,0.00078125,0.900999999999982,"001"
"227780",227.779,0.740625,-0.0024375,4.199063,0.00046875,0.900000000000006,"001"
"228642",228.641,0.7125,-0.00475,4.860625,0.000625,0.861999999999995,"001"
"229521",229.52,0.709375,-0.0059375,4.859687,0.000625,0.879000000000019,"001"
"230419",230.418,0.79375,-0.00725,4.410938,0.000625,0.897999999999996,"001"
"231334",231.333,0.784375,-0.0055625,4.860313,0.00078125,0.914999999999992,"001"
"232261",232.26,0.84375,-0.003625,4.860313,0.00078125,0.926999999999992,"001"
"233166",233.165,0.765625,-0.006875,4.860625,0.000625,0.905000000000001,"001"
"234054",234.053,0.7875,-0.0053125,4.040625,0.000625,0.888000000000005,"001"
"234975",234.974,0.859375,-0.005125,4.649375,0.000625,0.920999999999992,"001"
"235919",235.918,0.76875,-0.0043125,4.86,0.000625,0.944000000000017,"001"
"236862",236.861,0.8375,-0.0040625,4.860625,0.000625,0.942999999999984,"001"
"237747",237.746,0.728125,-0.0040625,4.857813,0.00078125,0.885000000000019,"001"
"238642",238.641,0.853125,-0.0075625,4.860938,0.00046875,0.894999999999982,"001"
"239566",239.565,0.75625,0.0220625,4.860313,0.000625,0.924000000000007,"001"
"240471",240.47,0.765625,-0.0034375,4.20125,0.0009375,0.905000000000001,"001"
"241360",241.359,0.834375,-0.0051875,4.860625,0.00046875,0.88900000000001,"001"
"242264",242.263,0.79375,-0.0085,4.445625,0.000625,0.903999999999996,"001"
